"lat","lon","PL136y","PL137x","PL137z","PL197x","pLat","pLon","pIdx","pError"
-8.06942,-34.891144,119,134.9,152.033333333333,136.966666666667,-8.0694178694,-34.8911475199,3254,0.00045580868892841
-8.069582,-34.896412,124.933333333333,104.466666666667,114.433333333333,129.1,-8.0695993309,-34.8964099034,3157,0.00194547517408098
-8.073793,-34.89043,105.5,135.166666666667,148.233333333333,139.7,-8.0737729454,-34.8904216739,1626,0.00241378474943758
-8.070358,-34.900925,145.2,140.5,138.05,131,-8.0703251769,-34.9009464409,2927,0.00435332833575169
-8.070448,-34.897099,103.9,122,133.7,134.733333333333,-8.0705066384,-34.8971357494,2813,0.00768201252327144
-8.073835,-34.898621,133.866666666667,118.333333333333,110.233333333333,105.033333333333,-8.0737729454,-34.8985874414,1581,0.00783626766475929
-8.076381,-34.895527,127.633333333333,127.9,105.333333333333,149.333333333333,-8.0763134064,-34.8955025959,646,0.00799093637115615
-8.07661,-34.896557,128.766666666667,127.766666666667,116.4,142.833333333333,-8.0766763294,-34.8965913649,715,0.0082987011564197
-8.072941,-34.896393,118.933333333333,117.533333333333,118.433333333333,139.5,-8.0728656379,-34.8964099034,3614,0.00859335122253727
-8.069356,-34.896477,122.25,104.8,115.45,122.85,-8.0694178694,-34.8964099034,3225,0.0101054106170575
-8.071154,-34.892006,124.1,117.6,141.8,144.4,-8.0712324844,-34.8920548274,1289,0.0102619692088618
-8.076395,-34.895554,128.15,126.575,109.325,147.025,-8.0763134064,-34.8955025959,646,0.0107048610689184
-8.072737,-34.896683,114.125,105.075,112.225,137.25,-8.0726841764,-34.8967728264,2068,0.0115146866349585
-8.076427,-34.89571,131.666666666667,134.9,114.4,148.566666666667,-8.0763134064,-34.8956840574,641,0.0129645324933177
-8.072927,-34.896622,113.4,106.266666666667,114.7,141.166666666667,-8.0730470994,-34.8965913649,2068,0.01378937974612
-8.071685,-34.891964,110.8,108.166666666667,126.433333333333,142.3,-8.0717768689,-34.8918733659,2366,0.0142959485221819
